GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
1400000US06059075301,06059075301,"Census Tract 753.01, Orange County, California",57207,10404
1400000US06059075302,06059075302,"Census Tract 753.02, Orange County, California",69449,5246
1400000US06059075303,06059075303,"Census Tract 753.03, Orange County, California",87024,16801
1400000US06059075401,06059075401,"Census Tract 754.01, Orange County, California",88036,25065
1400000US06059075403,06059075403,"Census Tract 754.03, Orange County, California",66532,4093
1400000US06059075404,06059075404,"Census Tract 754.04, Orange County, California",70694,15173
1400000US06059075405,06059075405,"Census Tract 754.05, Orange County, California",67652,7906
1400000US06059075504,06059075504,"Census Tract 755.04, Orange County, California",66797,10078
1400000US06059075505,06059075505,"Census Tract 755.05, Orange County, California",70938,7169
1400000US06059075506,06059075506,"Census Tract 755.06, Orange County, California",81750,7716
1400000US06059075507,06059075507,"Census Tract 755.07, Orange County, California",63420,7716
1400000US06059075512,06059075512,"Census Tract 755.12, Orange County, California",62500,13340
1400000US06059075513,06059075513,"Census Tract 755.13, Orange County, California",65739,7154
1400000US06059075514,06059075514,"Census Tract 755.14, Orange County, California",42708,5154
1400000US06059075515,06059075515,"Census Tract 755.15, Orange County, California",79402,13985
1400000US06059075603,06059075603,"Census Tract 756.03, Orange County, California",105893,8486
1400000US06059075604,06059075604,"Census Tract 756.04, Orange County, California",156071,20687
1400000US06059075605,06059075605,"Census Tract 756.05, Orange County, California",112097,19072
